73572,stan,prodaja,Beograd,Palilula opština,54,NULL,uobičajeno,NULL,1,na struju,prazno,NULL,NULL,NULL,NULL,2,1
73703,stan,prodaja,Beograd,Zemun,36,NULL,uobičajeno,NULL,13,centralno,prazno,NULL,NULL,NULL,uknjiženo,2,1
73705,stan,prodaja,Beograd,Zemun,36,NULL,uobičajeno,NULL,13,centralno,prazno,NULL,NULL,NULL,uknjiženo,2,1
73706,stan,prodaja,Beograd,Zemun,36,NULL,uobičajeno,NULL,13,centralno,prazno,NULL,NULL,NULL,uknjiženo,2,1
73813,stan,prodaja,Beograd,Vidikovac,42,NULL,uobičajeno,NULL,3,etažno,prazno,NULL,NULL,NULL,NULL,1.5,1
73815,stan,prodaja,Beograd,Vidikovac,42,NULL,uobičajeno,NULL,3,etažno,prazno,NULL,NULL,NULL,NULL,1.5,1
73816,stan,prodaja,Beograd,Vidikovac,42,NULL,uobičajeno,NULL,3,etažno,prazno,NULL,NULL,NULL,NULL,1.5,1
73832,stan,prodaja,Beograd,Zemun,44,2020,novo,NULL,4,etažno,prazno,NULL,NULL,NULL,NULL,1.5,1
73833,stan,prodaja,Beograd,Zemun,44,2020,novo,NULL,4,etažno,prazno,NULL,NULL,NULL,NULL,1.5,1
73834,stan,prodaja,Beograd,Zemun,44,2020,novo,NULL,4,etažno,prazno,NULL,NULL,NULL,NULL,1.5,1
73885,stan,prodaja,Beograd,Čukarica,35,NULL,uobičajeno,NULL,6,etažno,namešteno,NULL,NULL,NULL,nije uknjiženo,1.5,NULL
73886,stan,prodaja,Beograd,Čukarica,35,NULL,uobičajeno,NULL,6,etažno,namešteno,NULL,NULL,NULL,nije uknjiženo,1.5,NULL
73887,stan,prodaja,Beograd,Čukarica,35,NULL,uobičajeno,NULL,6,etažno,namešteno,NULL,NULL,NULL,nije uknjiženo,1.5,NULL
74075,stan,prodaja,Beograd,Čukarica,23,NULL,uobičajeno,NULL,4,centralno,prazno,NULL,NULL,NULL,uknjiženo,1,1
74076,stan,prodaja,Beograd,Čukarica,23,NULL,uobičajeno,NULL,4,centralno,prazno,NULL,NULL,NULL,uknjiženo,1,1
74077,stan,prodaja,Beograd,Čukarica,23,NULL,uobičajeno,NULL,4,centralno,prazno,NULL,NULL,NULL,uknjiženo,1,1
74225,stan,prodaja,Beograd,Mladenovac opština,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1
