izmedju 50 000 i 99 999,3958,0.3599
izmedju 100 000 i 149 999,1699,0.1545
manje od 49 999,3040,0.2764
vise od 200 000,1516,0.1378
izmedju 150 000 i 199 999,785,0.0714
