Posle 2020,748
Od 2010 do 2019,1102
Od 1970 do 1979,424
Pre 1950,213
Od 1990 do 1999,473
Od 2000 do 2009,890
Od 1980 do 1989,616
Od 1960 do 1969,199
Od 1950 do 1960,50
